Date, Realm, RealmType, Community, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, TestShortId, TestId, TestLine, ShutdownMode, ScreenSize,Response Size,Page Generation,Element Id Instantiations,Thread CPU TimeMillis,RuntimeMillis,Search,SearchEvents,SearchMillis,SearchRows,SearchUpdate,SearchUpdateEvents,SearchUpdateMillis,SearchUpdateBytes,TabIndex,
Wed Aug 24 14:08:11 GMT 2016,,,-1,UnknownNode,node0u2mttm0y124i2otxe38bjhe910.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,1,36,38,,,,,,,,,,
Wed Aug 24 14:08:26 GMT 2016,,,-1,UnknownNode,node01mu6aviyrt2a29in9xrels4t70.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,2,3,,,,,,,,,,
Wed Aug 24 14:08:29 GMT 2016,,,-1,UnknownNode,node01begl85t0wgivn23cy61ak9pd1.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,2,,,,,,,,,,
Wed Aug 24 14:08:53 GMT 2016,,,-1,UnknownNode,node01nmarhpicgg2ox5g3okv54p9u2.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 14:08:55 GMT 2016,,,-1,UnknownNode,node01pllc4gq0i9ed1miilnvdx0f8g3.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
