Date, Realm, RealmType, Community, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, TestShortId, TestId, TestLine, ShutdownMode, ScreenSize,Response Size,Page Generation,Element Id Instantiations,Thread CPU TimeMillis,RuntimeMillis,Search,SearchEvents,SearchMillis,SearchRows,SearchUpdate,SearchUpdateEvents,SearchUpdateMillis,SearchUpdateBytes,TabIndex,
Wed Aug 24 14:10:41 GMT 2016,,,-1,UnknownNode,node0kzubr8ev2x0x1vi1brbtvpf9f4.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,1,45,79414,,,,,,,,,,
Wed Aug 24 14:10:52 GMT 2016,,,-1,UnknownNode,node0wuh43owj326l1svmxpzsndrdj0.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,4,2460,,,,,,,,,,
Wed Aug 24 14:11:14 GMT 2016,,,-1,UnknownNode,node019h2rvea4n4gsfnahq3b5td7u1.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,2,13296,,,,,,,,,,
Wed Aug 24 14:11:52 GMT 2016,,,-1,UnknownNode,node0m2c620dx4d3ovky5b0bl7cly2.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,3,36244,,,,,,,,,,
